category,tp,fp,fp_density
MALICIOUS_CODE,0,126,1.0
BAD_PRACTICE,12,578,0.9796610169491525
DODGY_CODE,29,631,0.956060606060606
PERFORMANCE,9,136,0.9379310344827586
CORRECTNESS,21,266,0.926829268292683
I18N,11,80,0.8791208791208791
EXPERIMENTAL,1,1,0.5
