category,tp,fp,fp_density
MALICIOUS_CODE,0,126,1.0
BAD_PRACTICE,12,359,0.967654986522911
DODGY_CODE,29,407,0.9334862385321101
PERFORMANCE,9,89,0.9081632653061225
CORRECTNESS,21,143,0.8719512195121951
I18N,11,31,0.7380952380952381
EXPERIMENTAL,1,1,0.5
