category,tp,fp,fp_density
MALICIOUS_CODE,50,2271,0.97845756139595
I18N,34,537,0.9404553415061296
BAD_PRACTICE,52,711,0.9318479685452162
Multithreaded correctness,8,106,0.9298245614035088
DODGY_CODE,61,583,0.90527950310559
PERFORMANCE,30,249,0.8924731182795699
CORRECTNESS,45,316,0.8753462603878116
EXPERIMENTAL,4,17,0.8095238095238095
