category,vtype,tp,fp,fp_density
MALICIOUS_CODE,REFLF_REFLECTION_MAY_INCREASE_ACCESSIBILITY_OF_FIELD,1,0,0.0
CORRECTNESS,NP_NONNULL_PARAM_VIOLATION,1,0,0.0
EXPERIMENTAL,OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE,1,0,0.0
BAD_PRACTICE,NM_METHOD_NAMING_CONVENTION,0,0,-1
BAD_PRACTICE,SE_BAD_FIELD,0,0,-1
BAD_PRACTICE,THROWS_METHOD_THROWS_CLAUSE_THROWABLE,0,0,-1
PERFORMANCE,UUF_UNUSED_FIELD,0,0,-1
DODGY_CODE,DB_DUPLICATE_SWITCH_CLAUSES,0,0,-1
DODGY_CODE,UUF_UNUSED_PUBLIC_OR_PROTECTED_FIELD,0,0,-1
DODGY_CODE,RV_RETURN_VALUE_IGNORED_NO_SIDE_EFFECT,0,0,-1
DODGY_CODE,UWF_UNWRITTEN_PUBLIC_OR_PROTECTED_FIELD,0,0,-1
CORRECTNESS,GC_UNRELATED_TYPES,0,0,-1
CORRECTNESS,NP_NULL_ON_SOME_PATH_EXCEPTION,0,0,-1
Multithreaded correctness,SWL_SLEEP_WITH_LOCK_HELD,0,0,-1
