category,tp,fp,fp_density
BAD_PRACTICE,2,36,0.9473684210526315
DODGY_CODE,54,636,0.9217391304347826
MALICIOUS_CODE,11,23,0.6764705882352942
I18N,30,60,0.6666666666666666
PERFORMANCE,16,28,0.6363636363636364
CORRECTNESS,7,3,0.3
