category,tp,fp,fp_density
BAD_PRACTICE,2,31,0.9393939393939394
DODGY_CODE,54,531,0.9076923076923077
PERFORMANCE,16,25,0.6097560975609756
I18N,30,31,0.5081967213114754
MALICIOUS_CODE,11,9,0.45
CORRECTNESS,7,1,0.125
