category,tp,fp,fp_density
BAD_PRACTICE,10,130,0.9285714285714286
I18N,26,255,0.9074733096085409
MALICIOUS_CODE,14,128,0.9014084507042254
CORRECTNESS,5,42,0.8936170212765957
PERFORMANCE,6,22,0.7857142857142857
DODGY_CODE,24,79,0.7669902912621359
