category,tp,fp,fp_density
BAD_PRACTICE,10,110,0.9166666666666666
I18N,26,211,0.890295358649789
MALICIOUS_CODE,14,102,0.8793103448275862
CORRECTNESS,5,36,0.8780487804878049
DODGY_CODE,24,69,0.7419354838709677
PERFORMANCE,6,17,0.7391304347826086
