category,tp,fp,fp_density
BAD_PRACTICE,0,293,1.0
Multithreaded correctness,0,15,1.0
MALICIOUS_CODE,1,31,0.96875
PERFORMANCE,1,14,0.9333333333333333
DODGY_CODE,28,389,0.9328537170263789
CORRECTNESS,1,10,0.9090909090909091
