category,tp,fp,fp_density
BAD_PRACTICE,0,311,1.0
Multithreaded correctness,0,16,1.0
MALICIOUS_CODE,1,34,0.9714285714285714
DODGY_CODE,28,435,0.9395248380129589
PERFORMANCE,1,15,0.9375
CORRECTNESS,1,11,0.9166666666666666
