category,tp,fp,fp_density
I18N,5,114,0.957983193277311
Multithreaded correctness,3,54,0.9473684210526315
BAD_PRACTICE,8,94,0.9215686274509803
DODGY_CODE,54,380,0.8755760368663594
MALICIOUS_CODE,8,27,0.7714285714285715
CORRECTNESS,3,8,0.7272727272727273
PERFORMANCE,4,5,0.5555555555555556
EXPERIMENTAL,1,0,0.0
