category,tp,fp,fp_density
I18N,5,459,0.9892241379310345
Multithreaded correctness,3,115,0.9745762711864406
BAD_PRACTICE,8,299,0.9739413680781759
MALICIOUS_CODE,8,162,0.9529411764705882
DODGY_CODE,54,1024,0.9499072356215214
EXPERIMENTAL,1,7,0.875
PERFORMANCE,4,25,0.8620689655172413
CORRECTNESS,3,17,0.85
